Number,Amendments,Enforces since,Objectives
1st,"15, 19, 85, 87, 174, 176, 341, 342, 372 and 376.
Insert articles 31A and 31B.
Insert schedule 9.[5]",18 June 1951[6],"Added special provision for the advancement of any socially and educationally[7] backward classes or for the Scheduled Castes and Scheduled Tribes (SCs and STs). To fully secure the constitutional validity of zamindari abolition laws and to place reasonable restriction on freedom of speech. A new constitutional device, called Schedule 9 introduced to protect against laws that are contrary to the Constitutionally guaranteed fundamental rights. These laws encroach upon property rights, freedom of speech and equality before law."
2nd,Amend article 81(1)(b).[8],1 May 1953,Removed the upper population limit for a parliamentary constituency by amending Article 81(1)(b).
3rd,Amend schedule 7.[9],22 February 1955,"Re-enacted entry 33 of the Concurrent List in the Seventh Schedule with relation to include trade and commerce in, and the production, supply and distribution of four classes of essential commodities, viz., foodstuffs, including edible oil seeds and oils; cattle fodder, including oilcakes and other concentrates; raw cotton whether ginned or unginned, and cotton seeds; and raw jute."
4th,"Amend articles 31, 31A, and 305.
Amend schedule 9.[10]",27 April 1955,Restrictions on property rights and inclusion of related bills in Schedule 9 of the constitution.
5th,Amend article 3.[11],24 December 1955,"Empowered the President to prescribe a time limit for a State Legislature to convey its views on proposed Central laws relating to the formation of new States and alteration of areas, boundaries or names of existing States. Also permitted the President to extend the prescribed limit."
6th,"Amend articles 269 and 286.
Amend schedule 7.[12]",11 September 1956,Amend the Union List and State List with respect to raising of taxes.
7th,"Amend articles 1, 3, 49, 80, 81, 82, 131, 153, 158, 168, 170, 171, 216, 217, 220, 222, 224, 230, 231 and 232.
Insert articles 258A, 290A, 298, 350A, 350B, 371, 372A and 378A.
Amend part 8.
Amend schedules 1, 2, 4 and 7.[13]",1 November 1956,"Reorganisation of states on linguistic lines, abolition of Class A, B, C, D states and introduction of Union territories."
8th,Amend article 334.[14],5 January 1960,Extended the period of reservation of seats for the Scheduled Castes and Scheduled Tribes and Anglo-Indians in the Lok Sabha and the State Legislative Assemblies till 1970.
9th,Amend schedule 1.[15],28 December 1960,"Minor adjustments to territory of Indian Union consequent to agreement with Pakistan for settlement of disputes by demarcation of border villages, etc."
10th,"Amend article 240.
Amend schedule 1.[16]",11 August 1961,"Incorporation of Dadra and Nagar Haveli as a Union Territory, consequent to acquisition from Portugal."
11th,Amend articles 66 and 71.[17],19 December 1961,"Election of Vice President by Electoral College consisting of members of both Houses of Parliament, instead of election by a Joint Sitting of Parliament. Indemnify the President and Vice President Election procedure from challenge on grounds of existence of any vacancies in the electoral college."
12th,"Amend article 240.
Amend schedule 1.[18]",20 December 1961,"Incorporation of Goa, Daman and Diu as a Union Territory, consequent to acquisition from Portugal."
13th,"Amend article 170.
Insert new article 371A.[19]",1 December 1962,"Formation of State of Nagaland, with special protection under Article 371A."
14th,"Amend articles 81 and 240.
Insert article 239A.
Amend schedules 1 and 4.[20]",28 December 1962,"Incorporation of Pondicherry into the Union of India and creation of Legislative Assemblies for Himachal Pradesh, Tripura, Manipur and Goa."
15th,"Amend articles 124, 128, 217, 222, 224, 226, 297, 311 and 316.
Insert article 224A.
Amend schedule 7.[21]",5 October 1963,Raise retirement age of High Court judges from 60 to 62 and other minor amendments for rationalising interpretation of rules regarding judges etc.
16th,"Amend articles 19, 84 and 173.
Amend schedule 3.[22]",5 October 1963,Make it obligatory for seekers of public office to swear their allegiance to the Indian Republic and prescribe the various obligatory templates.
17th,"Amend article 31A.
Amend schedule 9.[23]",20 June 1964,To secure the constitutional validity of acquisition of Estates and place land acquisition laws in Schedule 9 of the constitution.
18th,Amend article 3.[24],27 August 1966,Technical Amendment to include Union Territories in Article 3 and hence permit reorganisation of Union Territories.
19th,Amend article 324.[25],11 December 1966,Abolish Election Tribunals and enable trial of election petitions by regular High Courts.
20th,Insert article 233A.[26],22 December 1966,"Indemnify & validate judgments, decrees, orders and sentences passed by judges and to validate the appointment, posting, promotion and transfer of judges barring a few who were not eligible for appointment under article 233. Amendment needed to overcome the effect of judgment invalidating appointments of certain judges in the state of Uttar Pradesh."
21st,Amend schedule 8.[27],10 April 1967,Include Sindhi as an official language.
22nd,"Amend article 275.
Insert articles 244A and 371B.[28]",25 September 1969,Provision to form Autonomous states within the State of Assam.
