prompt,output,tags
What is the definition of 'Panchayat' in the Constitution of India?,"In the Constitution of India, a 'Panchayat' is defined as an institution (by whatever name called) of self-government constituted under article 243B, for the rural areas.","['what', 'the', 'definition', 'panchayat', 'constitution', 'india', 'in', 'of', 'is']"
What is the Gram Sabha according to the Indian Constitution?,"According to the Indian Constitution, the Gram Sabha is a body consisting of persons registered in the electoral rolls relating to a village comprised within the area of Panchayat at the village level.","['what', 'gram', 'the', 'to', 'sabha', 'constitution', 'is', 'indian', 'according']"
What are the levels at which Panchayats are constituted in India?,"In India, Panchayats are constituted at the village, intermediate, and district levels in accordance with the provisions of Part IX of the Constitution of India.","['levels', 'panchayats', 'what', 'the', 'constituted', 'which', 'are', 'at', 'india', 'in']"
Can a state with a population not exceeding twenty lakhs have Panchayats at the intermediate level?,"No, states with a population not exceeding twenty lakhs may not have Panchayats at the intermediate level, as per the Constitution of India.","['with', 'panchayats', 'the', 'twenty', 'a', 'level', 'state', 'intermediate', 'at', 'exceeding', 'have', 'not', 'population', 'can', 'lakhs']"
What provisions can be made by the state legislature concerning the composition of Panchayats?,"The state legislature can make provisions concerning the composition of Panchayats, including the ratio between the population of the territorial area of a Panchayat at any level and the number of seats in such Panchayat to be filled by election, representation of various chairpersons and members, and the election of chairpersons at different levels, subject to the provisions of Part IX of the Constitution of India.","['panchayats', 'what', 'made', 'the', 'provisions', 'legislature', 'state', 'be', 'composition', 'of', 'by', 'concerning', 'can']"
"What reservation of seats is provided for Scheduled Castes, Scheduled Tribes, and women in Panchayats?","Seats in Panchayats are reserved for Scheduled Castes and Scheduled Tribes in proportion to their population in the Panchayat area. Not less than one-third of the total number of seats are reserved for women, including seats reserved for women belonging to the Scheduled Castes and Scheduled Tribes. The offices of Chairpersons at different levels are also reserved for Scheduled Castes, Scheduled Tribes, and women in a manner provided by the state legislature.","['provided', 'castes', 'what', 'panchayats', 'scheduled', 'reservation', 'for', 'and', 'in', 'of', 'tribes', 'is', 'women', 'seats']"
What is the duration of Panchayats in India?,"The duration of Panchayats in India is five years from the date appointed for their first meeting, unless they are dissolved sooner under any law in force.","['panchayats', 'what', 'the', 'india', 'duration', 'in', 'of', 'is']"
What are the disqualifications for membership in Panchayats?,A person is disqualified for being chosen as or being a member of a Panchayat if they are disqualified under any law for the purposes of elections to the legislature of the state concerned or under any law made by the state legislature.,"['panchayats', 'what', 'the', 'disqualifications', 'are', 'membership', 'for', 'in']"
"What powers, authority, and responsibilities can be endowed to Panchayats by state legislatures?","State legislatures can endow Panchayats with powers and authority necessary for functioning as institutions of self-government, including provisions for devolution of powers and responsibilities with respect to the preparation and implementation of plans for economic development and social justice, as well as matters listed in the Eleventh Schedule, subject to the provisions of the Constitution of India.","['panchayats', 'what', 'responsibilities', 'authority', 'legislatures', 'endowed', 'state', 'to', 'powers', 'and', 'be', 'by', 'can']"
"Can a state legislature authorize a Panchayat to levy, collect, and appropriate taxes?","Yes, a state legislature can authorize a Panchayat to levy, collect, and appropriate taxes, duties, tolls, and fees in accordance with the procedure and limits specified in the law.","['a', 'panchayat', 'authorize', 'appropriate', 'legislature', 'state', 'to', 'collect', 'and', 'levy', 'taxes', 'can']"
